iAH991	iJO1366
NTD6	NTD6
NTD7	NTD7
NTD4	NTD4
NTD3	NTD3
ADCL	ADCL
ARGDC	ARGDCpp
ICHORS	ICHORSi
ICHORS	ICHORS
ACLS	ACLS
SERD_L	SERD_L
ADSS	ADSS
METSr	METS
ME2	ME2
ALAt4r	ALAt4pp
PSP_L	PSP_L
PRPPS	PRPPS
TDPDRR	TDPDRR
PYK	PYK
DXPRIi	DXPRIi
ORNabc	ORNabcpp
ARGabc	ARGabcpp
PSD140	PSD140
PSD181	PSD181
PSD120	PSD120
PSD160	PSD160
3OAR60	3OAR60
3OAR80	3OAR80
3OAR100	3OAR100
3OAR121	3OAR121
3OAR120	3OAR120
3OAR141	3OAR141
3OAR140	3OAR140
3OAR161	3OAR161
3OAR160	3OAR160
3OAR40	3OAR40
3OAR181	3OAR181
ADNt2	ADNt2pp
THMDt2	THMDt2pp
DADNt2r	DADNt2pp
CYTDt2r	CYTDt2pp
DCYTt2r	DCYTt2pp
DURIt2	DURIt2pp
URIt2r	URIt2pp
MTHFD	MTHFD
GK1	GK1
MAN6PI	MAN6PI
GALS3	GALS3
ANS	ANS
MAN1PT2r	MAN1PT2
TRPAS2	TRPAS2
CYSDS	CYSDS
DXPS	DXPS
GND	GND
THMDt2	THMDt2rpp
URIt2r	URIt2rpp
ADNt2	ADNt2rpp
INSt2	INSt2rpp
CYTDt2r	CYTDt2rpp
GLUN	GLUNpp
ASNN	ASNNpp
ASNN	ASNN
PPK2	PPK2r
SO4t2	SO4t2pp
AGPR	AGPR
PGSA160	PGSA160
PGSA181	PGSA181
PGSA120	PGSA120
PGSA180	PGSA180
PGSA140	PGSA140
PPGPPDP	PPGPPDP
LYSt3r	LYSt3pp
UDCPDP	UDCPDP
UDCPDP	UDCPDPpp
LACZe	LACZ
ADOCBLabc	ADOCBLabcpp
LACZe	LACZpp
NADK	NADK
RMI	RMI
ASADi	ASAD
PMANM	PMANM
UAPGR	UAPGR
DHDPS	DHDPS
DHDPRy	DHDPRy
SPODM	SPODMpp
FOMETR	FOMETRi
PFL	PFL
UDPG4E	UDPG4E
ACODA	ACODA
MNt2	MNt2pp
CYTBD	CYTBDpp
TDSK_BT	TDSK
ARGDC	ARGDC
GSNt2r	GSNt2pp
DINSt2	DINSt2pp
INSt2	INSt2pp
DGSNt2	DGSNt2pp
NDPK1	NDPK1
PGI	PGI
LPADSS_BT	LPADSS
DMPPS	DMPPS
GLUN	GLUN
MLTG1e	MLTG1
MLTG3e	MLTG3
MLTG3	MLTG3
MLTG2e	MLTG2
MLTG2	MLTG2
MLTG5e	MLTG5
MLTG5	MLTG5
MLTG4e	MLTG4
MLTG4	MLTG4
G6PDH2r	G6PDH2r
U23GAAT_BT	U23GAAT
EDTXS1_BT	EDTXS1
IPDDI	IPDDI
ALAALA	ALAALAr
GPDDA2	GPDDA2pp
GPDDA2	GPDDA2
GPDDA4	GPDDA4pp
GPDDA1	GPDDA1pp
GPDDA4	GPDDA4
GPDDA1	GPDDA1
